Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"0.00"
Total credits,,"1,790,055.98"
Total debits,,"-1,743,274.93"
Ending balance as of 06/24/2026,,"46,781.05"

Date,Description,Amount,Running Bal.
01/01/2026,Beginning balance as of 01/01/2026,,"0.00"
02/19/2026,"Counter Credit","46,000.00","46,000.00"
02/19/2026,"Counter Credit","11,114.81","57,114.81"
02/24/2026,"Counter Credit","31,795.21","88,910.02"
02/25/2026,"Counter Credit","7,477.00","96,387.02"
02/26/2026,"Zelle payment from MOBILE COMMERCE INC for "Downpayment 1GKS2GKD5RR179449 -1"; Conf# 99c6zecqg","1,000.00","97,387.02"
02/27/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:W1N0 G8DB3NG093397 ,2022-Mercedes-Benz-GLC ,","-6,565.72","90,821.30"
02/27/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:7SAY GDEF3PF917547 ,2023-Tesla-Model Y ,","-3,291.23","87,530.07"
03/03/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,Payment- 1units ,","-1,334.56","86,195.51"
03/05/2026,"Zelle payment from DORIS HUIE for "Deposit for the BMW 430"; Conf# vuyjk9kbt","500.00","86,695.51"
03/05/2026,"Zelle payment to Ovis Ovis tire Conf# mceukr64z","-200.00","86,495.51"
03/05/2026,"BKOFAMERICA BC 03/05 #000006993 WITHDRWL 336 E Huntington Arcadia CA","-4,666.00","81,829.51"
03/05/2026,"CA DEPT TAX FEE DES:CDTFA EPMT ID:23850557 INDN:ICAR LIFESTYLE CO ID:2822162215 CCD","-73,290.18","8,539.33"
03/06/2026,"Zelle payment to Ovis Ovis tire Conf# l17i1duqy","-280.00","8,259.33"
03/06/2026,"Westlake Floorin DES:PAYABLES ID:100499447 INDN:ICAR Lifestyle CO ID:1352426469 CCD PMT INFO:100499447 ,ICAR Lifestyle ,VIN:1GYS 3JKL0PR256216 ,2023-Cadillac-Escalade E,","-3,443.24","4,816.09"
03/06/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-35.10","4,780.99"
03/06/2026,"NEXTGEAR PAYMENT DES:PAYMENT ID:155929 INDN:ICAR LIFESTYLE CO ID:1260401907 CCD","-19.08","4,761.91"
03/09/2026,"Counter Credit","21,790.50","26,552.41"
