Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/05/2026,"POS DEBIT                SHIP SAVING               CITY OF INDU CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/05/2026,"POS DEBIT                SHIP SAVING               CITY OF INDU CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/05/2026,"POS DEBIT                SHIP SAVING               CITY OF INDU CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/05/2026,"POS DEBIT                SHIP SAVING               CITY OF INDU CA",-31.49,MISC_DEBIT, ,,
DEBIT,01/05/2026,"ORIG CO NAME:Westlake Floorin CO ENTRY DESCR:PAYABLES   SEC:CCD IND ID:100499447       ORIG ID:1352426469",-2021.83,ACH_DEBIT, ,,
CREDIT,01/05/2026,"ORIG CO NAME:TSYS/TRANSFIRST  CO ENTRY DESCR:CR CD DEP  SEC:CCD IND ID:543684556033333 ORIG ID:WFBTRANSF1",2500.00,ACH_CREDIT, ,,
CREDIT,01/05/2026,"ORIG CO NAME:TSYS/TRANSFIRST  CO ENTRY DESCR:CR CD DEP  SEC:CCD IND ID:543684556033333 ORIG ID:WFBTRANSF1",5150.00,ACH_CREDIT, ,,
CREDIT,01/05/2026,"ORIG CO NAME:NEXTGEAR FUNDING CO ENTRY DESCR:FUNDING    SEC:CCD IND ID:155929          ORIG ID:1201990165",54600.00,ACH_CREDIT, ,,
CREDIT,01/05/2026,"ATM DEP -  2086 FOOTHILL BLVD LA VERNE CA",5000.00,MISC_CREDIT, ,,
CREDIT,01/05/2026,"ZELLE PAYMENT FROM CUIPING SHI BACKN3PA1K2G",1000.00,PARTNERFI_TO_CHASE, ,,
DEBIT,01/05/2026,"ORIG CO NAME:CA DEPT TAX FEE  CO ENTRY DESCR:CDTFA EPMT SEC:CCD IND ID:23197660        ORIG ID:2822162215",-38423.00,ACH_DEBIT, ,,
DEBIT,01/05/2026,"ORIG CO NAME:NEXTGEAR PAYMENT CO ENTRY DESCR:PAYMENT    SEC:CCD IND ID:155929          ORIG ID:1260401907",-28349.45,ACH_DEBIT, ,,
DEBIT,01/05/2026,"ORIG CO NAME:NEXTGEAR PAYMENT CO ENTRY DESCR:PAYMENT    SEC:CCD IND ID:155929          ORIG ID:1260401907",-33691.92,ACH_DEBIT, ,,
DEBIT,01/05/2026,"ORIG CO NAME:NEXTGEAR PAYMENT CO ENTRY DESCR:PAYMENT    SEC:CCD IND ID:155929          ORIG ID:1260401907",-31567.79,ACH_DEBIT, ,,
CREDIT,01/05/2026,"ORIG CO NAME:WESTLAKE FINANCI CO ENTRY DESCR:PAYABLES   SEC:PPD                        ORIG ID:2272814169",21354.64,ACH_CREDIT, ,,
CREDIT,01/05/2026,"ORIG CO NAME:Perimeter Billia CO ENTRY DESCR:SHOPIFY    SEC:CCD IND ID:O1I0X6T9F7V7    ORIG ID:STRIPE6088",40000.00,ACH_CREDIT, ,,
DEBIT,01/03/2026,"POS DEBIT                SHIP SAVING              CITY OF INDU  CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/03/2026,"POS DEBIT                SHIP SAVING              CITY OF INDU  CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/03/2026,"POS DEBIT                SHIP SAVING              CITY OF INDU  CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/03/2026,"POS DEBIT                SHIP SAVING              CITY OF INDU  CA",-11.49,MISC_DEBIT, ,,
DEBIT,01/02/2026,"Zelle payment to ch JPM99c0prmy0",-248.00,CHASE_TO_PARTNERFI,10604.56,,
DEBIT,01/02/2026,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:123125 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000015035238 EED:260102   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 0025035238TC",-2791.03,ACH_DEBIT,10852.56,,
DEBIT,01/02/2026,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:123125 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000016149989 EED:260102   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 0026149989TC",-41468.63,ACH_DEBIT,13643.59,,
DEBIT,01/02/2026,"ORIG CO NAME:NEXTGEAR PAYMENT       ORIG ID:1260401907 DESC DATE:123125 CO ENTRY DESCR:PAYMENT   SEC:CCD    TRACE#:091000016149988 EED:260102   IND ID:155929                       IND NAME:ICAR LIFESTYLE TRN: 0026149988TC",-69968.72,ACH_DEBIT,55112.22,,
